"VARNAMES","t_name","prN","harmonic_mean_LH_independent","harmonic_mean_LH_dependent","mean_marginalLH_independent","mean_marginalLH_dependent","marginalLH_BF"
"Rec_binary_v_bristle_binary","iqtree","uniform","-63.058535095313","-42.1231478147545","-79.50651675","-55.8414955","47.3300425"
"Rec_binary_v_bristle_binary","iqtree","exp","-62.941698642074","-41.5779995768165","-71.3293035","-49.58029175","43.4980235"
"Rec_binary_v_bristle_binary","iqtree","rjhp","-64.374792316108","-45.5092648499545","-67.66549725","-54.7111275","25.9087395"
"Rec_binary_v_bristle_binary","exabayes","uniform","-62.659546044243","-41.906828868303","-79.13072775","-55.6620445","46.9373665"
"Rec_binary_v_bristle_binary","exabayes","exp","-62.54834718132","-41.3393125172205","-70.982412","-49.34509825","43.2746275"
"Rec_binary_v_bristle_binary","exabayes","rjhp","-63.9655842008545","-45.2453029065235","-67.30173875","-54.408276","25.7869255"
"Rec_binary_v_bristle_binary","hybrid28S","uniform","-76.6876859963625","-53.6772150658285","-93.99478875","-68.7857365","50.4181045"
"Rec_binary_v_bristle_binary","hybrid28S","exp","-76.6047779223455","-52.426054077253","-85.79438425","-61.2900945","49.0085795"
"Rec_binary_v_bristle_binary","hybrid28S","rjhp","-78.312180522588","-52.743566501969","-80.49712675","-64.7089975","31.5762585"
"Rec_binary_v_an_binary","iqtree","uniform","-54.251387995295","-33.117648494145","-71.084672","-47.8486555","46.472033"
"Rec_binary_v_an_binary","iqtree","exp","-54.161299700841","-33.602532596726","-62.98223575","-42.1651485","41.6341745"
"Rec_binary_v_an_binary","iqtree","rjhp","-55.5103980561195","-36.4981439981725","-57.2293755","-47.046191","20.366369"
"Rec_binary_v_an_binary","exabayes","uniform","-53.958397480166","-33.0003526742735","-70.93159975","-47.7461995","46.3708005"
"Rec_binary_v_an_binary","exabayes","exp","-53.8678187947155","-33.459076207862","-62.73083425","-42.03717","41.3873285"
"Rec_binary_v_an_binary","exabayes","rjhp","-55.2519499088065","-36.3407220634725","-56.9793915","-46.81902125","20.3207405"
"Rec_binary_v_an_binary","hybrid28S","uniform","-68.85437715382","-51.2725900365645","-86.366677","-66.12838525","40.4765835"
"Rec_binary_v_an_binary","hybrid28S","exp","-68.7757672858265","-49.8270792876745","-78.1561465","-58.26057525","39.7911425"
"Rec_binary_v_an_binary","hybrid28S","rjhp","-69.7292011621435","-50.631951218193","-71.45882675","-64.41540425","14.086845"
"bristle_binary_v_an_binary","iqtree","uniform","-78.208027984532","-55.6213740509875","-94.8733765","-70.39155875","48.9636355"
"bristle_binary_v_an_binary","iqtree","exp","-78.1110950868765","-54.5507906904685","-86.79295725","-63.0804055","47.4251035"
"bristle_binary_v_an_binary","iqtree","rjhp","-77.9295514161175","-57.753585309132","-84.462741","-65.899267","37.126948"
"bristle_binary_v_an_binary","exabayes","uniform","-77.7227031052275","-55.4745219019555","-94.420514","-70.2509095","48.339209"
"bristle_binary_v_an_binary","exabayes","exp","-77.630428369703","-54.4382493770145","-86.39613225","-62.95862275","46.875019"
"bristle_binary_v_an_binary","exabayes","rjhp","-77.3937314893425","-57.6305442652355","-84.0500365","-65.63467175","36.8307295"
"bristle_binary_v_an_binary","hybrid28S","uniform","-101.004719921343","-71.3350635116885","-117.63664075","-86.392752","62.4877775"
"bristle_binary_v_an_binary","hybrid28S","exp","-100.932858792814","-70.19183880734","-109.61379","-78.93708075","61.3534185"
"bristle_binary_v_an_binary","hybrid28S","rjhp","-102.847906157385","-72.086154374732","-106.77082925","-88.0592365","37.4231855"
